Player,Span,Matches,Inns,No,Runs,Hs,Ave,Bf,Sr,100,50,0,4S,Column15
AT Rayudu,2018-2023,14,14,4,338,72*,33.80,256,132.03,0,2,2,26,19
RD Gaikwad,2020-2025,9,8,2,238,88*,39.66,166,143.37,0,2,2,22,12
MS Dhoni,2018-2025,15,12,6,187,37*,31.16,160,116.87,0,0,0,12,11
DJ Bravo,2018-2022,9,8,1,147,68,21.00,96,153.12,0,1,1,5,13
S Dube,2022-2025,6,5,2,143,66*,47.66,105,136.19,0,1,0,13,7
F du Plessis,2019-2021,6,6,1,141,58*,28.20,106,133.01,0,2,1,12,5
SR Watson,2018-2020,7,7,0,135,80,19.28,112,120.53,0,1,0,16,5
SK Raina,2018-2021,8,8,1,116,75*,16.57,103,112.62,0,1,0,10,5
KM Jadhav,2018-2020,4,3,1,88,58,44.00,87,101.14,0,1,0,9,3
AM Rahane,2023-2024,3,3,0,87,61,29.00,52,167.30,0,1,0,9,4
RA Jadeja,2018-2025,14,9,3,86,26,14.33,94,91.48,0,0,0,7,0
SM Curran,2020-2025,4,2,0,70,52,35.00,53,132.07,0,1,0,5,4
M Vijay,2019-2020,3,3,0,65,38,21.66,68,95.58,0,0,0,6,1
MM Ali,2021-2023,4,3,0,58,58,19.33,41,141.46,0,1,2,5,5
DP Conway,2022-2023,3,3,0,44,44,14.66,47,93.61,0,0,2,4,0
MJ Santner,2019-2023,3,2,0,33,22,16.50,29,113.79,0,0,0,2,2
RV Uthappa,2022-2022,2,2,0,31,30,15.50,31,100.00,0,0,0,2,2
SN Thakur,2018-2024,7,4,2,26,12*,13.00,28,92.85,0,0,0,1,1
D Pretorius,2022-2023,2,1,0,22,22,22.00,14,157.14,0,0,0,2,1
R Ravindra,2024-2025,2,1,0,21,21,21.00,16,131.25,0,0,0,2,1
DJ Mitchell,2024-2024,1,1,0,17,17,17.00,14,121.42,0,0,0,1,0
Imran Tahir,2018-2020,7,3,3,15,13*,-,12,125.00,0,0,0,2,0
Harbhajan Singh,2018-2019,5,2,0,9,8,4.50,8,112.50,0,0,0,1,0
DL Chahar,2018-2023,12,4,0,7,7,1.75,15,46.66,0,0,3,1,0
DR Shorey,2019-2019,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
Mukesh Choudhary,2022-2022,2,1,0,4,4,4.00,4,100.00,0,0,0,1,0
SW Billings,2018-2018,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
Simarjeet Singh,2022-2022,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0
MA Wood,2018-2018,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
N Jagadeesan,2020-2020,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
MM Sharma,2019-2019,1,1,1,0,0*,-,2,0.00,0,0,0,0,0
M Theekshana,2022-2023,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0
KK Ahmed,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
R Ashwin,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Chawla,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
TU Deshpande,2023-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
NT Ellis,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
JR Hazlewood,2020-2021,2,-,-,-,-,-,-,-,-,-,-,-,-
DJ Hooda,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
SSB Magala,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
L Ngidi,2020-2021,2,-,-,-,-,-,-,-,-,-,-,-,-
Noor Ahmad,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
M Pathirana,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Sameer Rizvi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
