Player,Span,Mat,Inns,No,Runs,Hs,Ave,Bf,Sr,100,50,0,4S,6S
RG Sharma,2018-2025,14,14,2,361,105*,30.08,266,135.71,1,2,3,40,14
SA Yadav,2018-2025,15,13,1,343,71*,28.58,276,124.27,0,2,1,40,5
Ishan Kishan,2018-2024,11,10,1,238,68*,26.44,184,129.34,0,1,1,25,8
KA Pollard,2018-2022,10,7,4,205,87*,68.33,115,178.26,0,1,0,14,16
Q de Kock,2019-2021,8,8,1,190,46*,27.14,142,133.80,0,0,0,21,8
NT Tilak Varma,2022-2025,5,5,2,169,51*,56.33,138,122.46,0,1,0,16,5
HH Pandya,2018-2024,10,9,5,144,25*,36.00,98,146.93,0,0,0,6,10
KH Pandya,2018-2021,10,8,1,130,42,18.57,96,135.41,0,0,1,12,5
SS Tiwary,2020-2021,3,2,1,92,50*,92.00,71,129.57,0,1,0,8,1
E Lewis,2018-2019,3,3,0,79,47,26.33,75,105.33,0,0,1,6,3
N Wadhera,2023-2023,1,1,0,64,64,64.00,51,125.49,0,1,0,8,1
TH David,2022-2024,4,4,1,62,31,20.66,38,163.15,0,0,0,1,6
HR Shokeen,2022-2023,3,3,1,61,25,30.50,61,100.00,0,0,0,8,0
T Stubbs,2022-2023,3,3,0,25,20,8.33,33,75.75,0,0,1,2,0
JD Unadkat,2022-2022,1,1,1,19,19*,-,9,211.11,0,0,0,1,1
C Green,2023-2023,2,2,0,18,12,9.00,15,120.00,0,0,0,2,0
Naman Dhir,2025-2025,1,1,0,17,17,17.00,12,141.66,0,0,0,1,0
Anmolpreet Singh,2021-2021,1,1,0,16,16,16.00,14,114.28,0,0,0,2,1
AF Milne,2021-2021,1,1,0,15,15,15.00,15,100.00,0,0,0,0,1
RD Rickelton,2025-2025,1,1,0,13,13,13.00,7,185.71,0,0,0,3,0
WG Jacks,2025-2025,1,1,0,11,11,11.00,7,157.14,0,0,0,2,0
JL Pattinson,2020-2020,1,1,0,11,11,11.00,8,137.50,0,0,0,2,0
MJ Santner,2025-2025,1,1,0,11,11,11.00,13,84.61,0,0,0,1,0
PP Chawla,2023-2023,2,2,2,7,5*,-,8,87.50,0,0,0,0,0
JJ Bumrah,2018-2024,13,3,3,6,5*,-,5,120.00,0,0,0,0,0
DR Sams,2022-2022,2,2,0,6,5,3.00,9,66.66,0,0,0,1,0
D Brevis,2022-2022,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0
Mohammad Nabi,2024-2024,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
Yuvraj Singh,2019-2019,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0
JC Archer,2023-2023,1,1,1,3,3*,-,2,150.00,0,0,0,0,0
Arshad Khan,2023-2023,2,2,0,3,2,1.50,6,50.00,0,0,0,0,0
DL Chahar,2025-2025,1,1,1,3,3*,-,6,50.00,0,0,0,0,0
R Minz,2025-2025,1,1,0,3,3,3.00,9,33.33,0,0,0,0,0
RD Chahar,2019-2021,8,3,1,2,2*,1.00,7,28.57,0,0,2,0,0
R Shepherd,2024-2024,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
TA Boult,2020-2025,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DS Kulkarni,2021-2021,1,1,1,0,0*,-,0,-,0,0,0,0,0
MJ McClenaghan,2018-2019,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
JDS Neesham,2021-2021,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
JP Behrendorff,2019-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
G Coetzee,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
NM Coulter-Nile,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
BCJ Cutting,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
JP Duminy,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
S Gopal,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
R Goyal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
K Kartikeya,2022-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
SL Malinga,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
A Madhwal,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
M Markande,2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
